Median_Mean,Lower_bound,Upper_bound,Parameters,Model,Success,Total
1.55,1.23,1.87,CLcrrt,1,187,200
0.616,0.549,0.677,CLr,1,187,200
38.9,32,45.7,V1,1,187,200
12,4.5,24.1,Q,1,187,200
8.72,2.9,15.36,V2,1,187,200
0.928,0.52,1.428,BW,1,187,200
0.272,0.102,0.636,IIV_CLcrrt,1,187,200
0.225,0.153,0.338,IIV_CLr,1,187,200
0.312,0.194,0.495,IIV_V1,1,187,200
0.0717,0.00244,0.193,Cov_CLr_V1,1,187,200
0.0271,0.0202,0.0352,PropErr,1,187,200
1.57,1.27,1.88,CLcrrt,2,189,200
0.596,0.517,0.67,CLr,2,189,200
39.2,31,46.3,V1,2,189,200
12.2,3.8,29.5,Q,2,189,200
8.52,2.37,15.67,V2,2,189,200
0.906,0.471,1.414,BW,2,189,200
0.253,0.101,0.498,IIV_CLcrrt,2,189,200
0.219,0.146,0.327,IIV_CLr,2,189,200
0.302,0.182,0.458,IIV_V1,2,189,200
0.063,-0.00904,0.168,Cov_CLr_V1,2,189,200
0.0269,0.0188,0.0352,PropErr,2,189,200
1.56,1.29,1.84,CLcrrt,3,188,200
0.604,0.536,0.665,CLr,3,188,200
39.4,33.6,45.5,V1,3,188,200
11.9,4.2,28.9,Q,3,188,200
8.68,2.64,15.29,V2,3,188,200
0.881,0.415,1.233,BW,3,188,200
0.27,0.105,0.552,IIV_CLcrrt,3,188,200
0.211,0.132,0.308,IIV_CLr,3,188,200
0.309,0.197,0.458,IIV_V1,3,188,200
0.0682,-0.00573,0.156,Cov_CLr_V1,3,188,200
0.0266,0.0203,0.0342,PropErr,3,188,200
1.59,1.28,1.9,CLcrrt,4,194,200
0.613,0.55,0.671,CLr,4,194,200
39.2,32.5,47,V1,4,194,200
12.8,3.5,26.6,Q,4,194,200
8.9,2.7,16.46,V2,4,194,200
0.9,0.465,1.285,BW,4,194,200
0.262,0.0851,0.6,IIV_CLcrrt,4,194,200
0.222,0.143,0.32,IIV_CLr,4,194,200
0.309,0.192,0.455,IIV_V1,4,194,200
0.0719,0.00694,0.15,Cov_CLr_V1,4,194,200
0.0264,0.0202,0.0348,PropErr,4,194,200
1.6,1.26,1.92,CLcrrt,5,188,200
0.618,0.544,0.676,CLr,5,188,200
39,32.1,45.5,V1,5,188,200
11.8,4.4,32.1,Q,5,188,200
8.87,2.97,15.86,V2,5,188,200
0.905,0.514,1.328,BW,5,188,200
0.245,0.0903,0.544,IIV_CLcrrt,5,188,200
0.23,0.152,0.337,IIV_CLr,5,188,200
0.303,0.183,0.45,IIV_V1,5,188,200
0.074,-0.00104,0.16,Cov_CLr_V1,5,188,200
0.0275,0.0219,0.034,PropErr,5,188,200
1.58,1.23,1.85,CLcrrt,6,189,200
0.613,0.55,0.669,CLr,6,189,200
38.9,33,44.7,V1,6,189,200
12.5,5.5,31.8,Q,6,189,200
8.86,3.43,16,V2,6,189,200
0.926,0.509,1.305,BW,6,189,200
0.251,0.0927,0.637,IIV_CLcrrt,6,189,200
0.206,0.122,0.32,IIV_CLr,6,189,200
0.302,0.191,0.455,IIV_V1,6,189,200
0.064,0.00588,0.155,Cov_CLr_V1,6,189,200
0.0273,0.0212,0.0364,PropErr,6,189,200
1.59,1.24,1.92,CLcrrt,7,190,200
0.606,0.529,0.659,CLr,7,190,200
39.4,31.7,47.3,V1,7,190,200
12.1,3.9,28.1,Q,7,190,200
8.46,2.34,15.27,V2,7,190,200
0.885,0.508,1.289,BW,7,190,200
0.261,0.0816,0.603,IIV_CLcrrt,7,190,200
0.198,0.121,0.298,IIV_CLr,7,190,200
0.308,0.185,0.458,IIV_V1,7,190,200
0.0642,-0.0077,0.158,Cov_CLr_V1,7,190,200
0.0268,0.0205,0.0332,PropErr,7,190,200
1.56,1.23,1.86,CLcrrt,8,191,200
0.618,0.556,0.686,CLr,8,191,200
39,32,45.1,V1,8,191,200
12,3.5,28.2,Q,8,191,200
8.71,2.69,15.82,V2,8,191,200
0.927,0.514,1.37,BW,8,191,200
0.271,0.0897,0.629,IIV_CLcrrt,8,191,200
0.229,0.15,0.327,IIV_CLr,8,191,200
0.303,0.18,0.461,IIV_V1,8,191,200
0.0741,0.0133,0.169,Cov_CLr_V1,8,191,200
0.0268,0.0213,0.0358,PropErr,8,191,200
1.57,1.22,1.92,CLcrrt,9,191,200
0.626,0.565,0.68,CLr,9,191,200
39.3,31.1,46.6,V1,9,191,200
11.5,2.3,32.8,Q,9,191,200
8.72,1.3,16.18,V2,9,191,200
0.871,0.456,1.328,BW,9,191,200
0.272,0.0967,0.629,IIV_CLcrrt,9,191,200
0.222,0.14,0.312,IIV_CLr,9,191,200
0.302,0.182,0.433,IIV_V1,9,191,200
0.0688,0.00616,0.161,Cov_CLr_V1,9,191,200
0.0278,0.0206,0.0355,PropErr,9,191,200
1.58,1.17,1.87,CLcrrt,10,189,200
0.614,0.552,0.677,CLr,10,189,200
38.9,31.1,45.9,V1,10,189,200
5.9,3.1,27.9,Q,10,189,200
3.43,1.98,16.77,V2,10,189,200
0.907,0.496,1.366,BW,10,189,200
0.279,0.102,0.586,IIV_CLcrrt,10,189,200
0.218,0.139,0.327,IIV_CLr,10,189,200
0.3,0.183,0.434,IIV_V1,10,189,200
0.0781,0.000459,0.177,Cov_CLr_V1,10,189,200
0.0273,0.0214,0.0371,PropErr,10,189,200
1.69,1.43,1.96,CLcrrt,100,,
0.634,0.564,0.689,CLr,100,,
38.5,31.9,45.2,V1,100,,
12.3,2.7,22,Q,100,,
8.71,2.5,14.92,V2,100,,
1.03,0.66,1.41,BW,100,,
0.179,0.0843,0.378,IIV_CLcrrt,100,,
0.221,0.15,0.326,IIV_CLr,100,,
0.289,0.19,0.441,IIV_V1,100,,
0.0784,0.00213,0.155,Cov_CLr_V1,100,,
0.0275,0.0211,0.0359,PropErr,100,,
0.488,0.138,0.879,CKDEPI,1,187,200
0.566,0.222,0.998,CKDEPI,2,189,200
0.7,0.397,1.0121,CKDEPI,3,188,200
0.592,0.305,0.858,CKDEPI,4,194,200
0.403,0.0669,0.773,CKDEPI,5,188,200
0.561,0.264,0.904,CKDEPI,6,189,200
0.593,0.393,0.879,CKDEPI,7,190,200
0.512,0.281,0.814,CKDEPI,8,191,200
0.5,0.198,0.878,CKDEPI,9,191,200
0.49,0.0649,0.945,CKDEPI,10,189,200
0.48,0.11,0.85,CKDEPI,100,,
