DAY,p10,p25,p50,p75,p90
1,155.1537,208.7762,287.0606,389.4818,504.274
2,186.5974,252.7422,348.9512,474.550225,617.69649
3,206.1596,283.3938,394.3412,539.7227,708.173
4,216.5281,298.951,417.143,576.186,765.4
5,210.307,301.3362,433.875,612.32,823.784
6,207.548,307.495,452.12,644.716,874.255899999998
7,225.971,322.447,469.3415,671.772,916.7
8,223.568,326.185,481.312,694.021999999999,952.478
9,213.956,325.117,489.5,711.733,982.115
10,210.663,326.274,496.709,726.774,1007.658
11,209.417,327.698,502.85,739.411999999999,1028.929
12,230.065,337.755,509.08,749.736,1048.064
13,226.416,338.111,513.352,758.725,1064.0039
14,236.117,345.142,518.069,766.378999999999,1077.79
